idna_subject,checker_type,destination,tested_at
sumo.cpufan.club,AVAILABILITY,origin.list,2022-05-08 05:43:53.489393
sss.www.freecontent.date,AVAILABILITY,origin.list,2022-05-08 05:43:54.044040
seed4.nimiqtest.net,AVAILABILITY,origin.list,2022-05-08 05:43:54.442255
stats.nimiq.network,AVAILABILITY,origin.list,2022-05-08 05:43:54.589034
siteverification.site,AVAILABILITY,origin.list,2022-05-08 05:43:54.976300
subdomain-001.smectapop12.pl,AVAILABILITY,origin.list,2022-05-08 05:43:55.103205
seed1.nimiqtest.net,AVAILABILITY,origin.list,2022-05-08 05:43:55.264730
static.reasedoper.pw,AVAILABILITY,origin.list,2022-05-08 05:43:55.546381
stat.miraben.pw,AVAILABILITY,origin.list,2022-05-08 05:43:55.641881
smectapop12.pl,AVAILABILITY,origin.list,2022-05-08 05:43:55.838392
tainiesonline.pw,AVAILABILITY,origin.list,2022-05-08 05:43:56.184939
shannon.nimiqpool.com,AVAILABILITY,origin.list,2022-05-08 05:43:56.696742
superbay.li,AVAILABILITY,origin.list,2022-05-08 05:43:56.737968
support.2giga.li,AVAILABILITY,origin.list,2022-05-08 05:43:56.695639
stat0808.info,AVAILABILITY,origin.list,2022-05-08 05:43:57.812697
seedrs.nimiqpool.com,AVAILABILITY,origin.list,2022-05-08 05:43:57.861646
st.kjli.fi,AVAILABILITY,origin.list,2022-05-08 05:43:58.361003
teramill.com,AVAILABILITY,origin.list,2022-05-08 05:43:58.425997
smartoffer.si,AVAILABILITY,origin.list,2022-05-08 05:43:58.035255
thersprens.com,AVAILABILITY,origin.list,2022-05-08 05:43:58.897051
tazm9p7tso.trade,AVAILABILITY,origin.list,2022-05-08 05:43:58.968245
sumo.cryptonoter.com,AVAILABILITY,origin.list,2022-05-08 05:43:59.109520
sydney01.monero.hashvault.pro,AVAILABILITY,origin.list,2022-05-08 05:43:59.438041
toftofcal.com,AVAILABILITY,origin.list,2022-05-08 05:43:59.519176
subdomain001.smectapop12.pl,AVAILABILITY,origin.list,2022-05-08 05:43:59.534426
thatresha.com,AVAILABILITY,origin.list,2022-05-08 05:43:59.708153
synconnector.com,AVAILABILITY,origin.list,2022-05-08 05:43:59.972396
testnet.jsecoin.com,AVAILABILITY,origin.list,2022-05-08 05:44:00.123901
stone.cryptoloot.pro,AVAILABILITY,origin.list,2022-05-08 05:44:00.142105
traffic-gate-service.info,AVAILABILITY,origin.list,2022-05-08 05:44:00.473822
tainiesonline.stream,AVAILABILITY,origin.list,2022-05-08 05:44:00.699790
tpbpiratbay.cl,AVAILABILITY,origin.list,2022-05-08 05:44:00.711326
srv02.bitcoiner.win,AVAILABILITY,origin.list,2022-05-08 05:44:00.880789
thelifeisbinary.ddns.net,AVAILABILITY,origin.list,2022-05-08 05:44:01.043330
traffic-optical-service.info,AVAILABILITY,origin.list,2022-05-08 05:44:01.249975
ultra-cdn.pl,AVAILABILITY,origin.list,2022-05-08 05:44:01.758223
