idna_subject,checker_type,destination,source,tested_at,session_id
0x1f4b0.com,AVAILABILITY,origin.list,origin.list,2022-05-17 05:23:59.160945,c77c0f4a60fad1658e009c2c
1480876790.rsc.cdn77.org,AVAILABILITY,origin.list,origin.list,2022-05-17 05:23:59.170899,c77c0f4a60fad1658e009c2c
1q2w3.fun,AVAILABILITY,origin.list,origin.list,2022-05-17 05:23:59.335826,c77c0f4a60fad1658e009c2c
01.beeppool.org,AVAILABILITY,origin.list,origin.list,2022-05-17 05:23:59.621174,c77c0f4a60fad1658e009c2c
1q2w3.website,AVAILABILITY,origin.list,origin.list,2022-05-17 05:23:59.872477,c77c0f4a60fad1658e009c2c
0aqpqdju.me,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:00.128532,c77c0f4a60fad1658e009c2c
2giga.link,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:00.297236,c77c0f4a60fad1658e009c2c
50-50-pool.burst.beeppool.org,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:00.781558,c77c0f4a60fad1658e009c2c
50bots.nullrefexcep.com,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:01.682369,c77c0f4a60fad1658e009c2c
a.proxy4.nullrefexcep.com,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:02.162107,c77c0f4a60fad1658e009c2c
aalbbh84.info,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:02.192152,c77c0f4a60fad1658e009c2c
a.proxy5.nullrefexcep.com,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:02.375222,c77c0f4a60fad1658e009c2c
abc.pema.cl,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:02.795883,c77c0f4a60fad1658e009c2c
8000plus.si,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:02.910008,c77c0f4a60fad1658e009c2c
acm.beeppool.org,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:04.537410,c77c0f4a60fad1658e009c2c
activation.nimiq.com,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:04.572199,c77c0f4a60fad1658e009c2c
aba.ae,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:04.912406,c77c0f4a60fad1658e009c2c
ad-miner.com,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:04.983674,c77c0f4a60fad1658e009c2c
ad.g-content.bid,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:05.234591,c77c0f4a60fad1658e009c2c
adbtc.top,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:05.543917,c77c0f4a60fad1658e009c2c
adless.io,AVAILABILITY,origin.list,origin.list,2022-05-17 05:24:05.747603,c77c0f4a60fad1658e009c2c
